Name,Hash,Id,Tag,Rarity,Tier,Type,Source,Category,Element,Ammo,Power,Archetype,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Holofoil,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Persistence,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Ammo Generation,Heat Generated,Cooling Efficiency,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15,Perks 16,Perks 17,Perks 18,Perks 19
Adjudicator,1013434963,"""6917530123583591411""",archive,Legendary,0,Submachine Gun,,KineticSlot,Kinetic,primary,10,Precision Frame,Stability,10,Vault,true,false,false,6,23,,93,54,25,61,13,0,0,0,60,600,26,32,26,0,0,0,0,0,0,0,0,12,30,0,0,false,0,0,,,,Precision Frame*,Corkscrew Rifling*,Tactical Mag*,Dynamic Sway Reduction*,Target Lock*,Crossing Over*,Kill Tracker,Masterworked: Stability*,,,,,,,,,,,,
Agape,4124362340,"""6917530144692946419""",archive,Legendary,4,Hand Cannon,kepler,Energy,Solar,primary,200,Heavy Burst,Reload Speed,1,Vault,true,false,false,8,27,,90,63,92,70,14,0,0,0,34,257,22,14,34,0,0,0,0,0,0,0,0,19,55,0,0,false,0,0,,,,Heavy Burst*,Corkscrew Rifling*,Full Bore,Alloy Magazine*,Light Mag,Heal Clip*,Pugilist,Firefly*,Vorpal Weapon,Exhaustive Research*,Kill Tracker,Tier 1: Reload Speed*,,,,,,,,
Age-Old Bond,424291879,"""6917530144369778628""",archive,Legendary,0,Auto Rifle,lastwish,Energy,Void,primary,200,High-Impact Frame,Handling,1,Vault,true,false,false,6,21,,79,61,31,92,16,0,0,0,30,400,34,31,39,0,0,0,0,0,0,0,0,10,49,0,0,false,0,0,,,,High-Impact Frame*,Extended Barrel,Hammer-Forged Rifling*,Alloy Magazine*,Flared Magwell,Dynamic Sway Reduction*,Kill Clip*,Explosive Pact*,Kill Tracker,Tier 1: Handling*,,,,,,,,,,
Ager's Scepter,1833195496,"""6917529630557026485""",keep,Exotic,0,Trace Rifle,,KineticSlot,Stasis,special,10,Ager's Call,,10,Vault,true,false,false,4,15,,100,100,6,69,16,0,0,0,99,1000,55,97,62,0,0,0,0,0,0,0,0,15,44,0,0,false,0,2491,,,,Ager's Call*,Arrowhead Brake*,Particle Repeater*,Rega's Refrain*,Hand-Laid Stock*,Kill Tracker,Ager's Scepter Catalyst*,,,,,,,,,,,,,
Ahab Char,1411560894,"""6917530145348373258""",archive,Legendary,2,Auto Rifle,campaign,Energy,Solar,primary,415,Rapid-Fire Frame,Stability,5,Vault,true,false,false,8,27,,50,70,18,35,16,0,0,0,80,720,45,51,30,0,0,0,0,0,0,0,0,13,52,0,0,false,0,0,,,,Rapid-Fire Frame*,Fluted Barrel,Polygonal Rifling*,Appended Mag,Ricochet Rounds*,Subsistence*,Burning Ambition*,Bray Legacy*,Kill Tracker,Tier 5: Stability*,,,,,,,,,,
Ahab Char,1411560894,"""6917530145379610772""",archive,Legendary,3,Auto Rifle,campaign,Energy,Solar,primary,417,Rapid-Fire Frame,Handling,3,Vault,true,false,false,8,27,,60,70,18,30,16,0,0,0,65,720,45,51,28,0,0,0,0,0,0,0,0,13,52,0,0,false,0,0,,,,Rapid-Fire Frame*,Chambered Compensator*,Extended Barrel,Alloy Magazine*,Ricochet Rounds,Transcendent Moment*,Recycled Energy,Kill Clip*,Burning Ambition,Bray Legacy*,Kill Tracker,Tier 3: Handling*,,,,,,,,
Ahab Char,1411560894,"""6917530145544626013""",archive,Legendary,3,Auto Rifle,campaign,Energy,Solar,primary,421,Rapid-Fire Frame,Handling,4,Vault,true,false,false,8,27,,60,70,18,40,16,0,0,0,55,720,25,61,24,0,0,0,0,0,0,0,0,23,52,0,0,false,0,0,,,,Rapid-Fire Frame*,Extended Barrel*,Smallbore,Extended Mag*,Ricochet Rounds,Heal Clip*,Proximity Power,Swashbuckler,Burning Ambition*,Bray Legacy*,Kill Tracker,Tier 4: Handling*,,,,,,,,
Ahab Char,1411560894,"""6917530146451138311""",archive,Legendary,5,Auto Rifle,campaign,Energy,Solar,primary,452,Rapid-Fire Frame,Reload Speed,2,Vault,true,false,false,8,27,,60,70,18,30,16,0,0,0,66,720,47,51,26,0,0,0,0,0,0,0,0,13,52,0,0,false,0,0,,,,Rapid-Fire Frame*,Chambered Compensator*,Smallbore,Alloy Magazine*,Light Mag,Transcendent Moment*,Subsistence,Perpetual Motion,Kill Clip*,Eye of the Storm,Burning Ambition,Bray Legacy*,Kill Tracker,Tier 2: Reload Speed*,Achronal Ahab Char*,Sparks Everlasting*,,,,
Ahab Char,1411560894,"""6917530146600114647""",archive,Legendary,5,Auto Rifle,campaign,Energy,Solar,primary,452,Rapid-Fire Frame,Range,1,Vault,true,false,false,8,27,,60,70,18,31,16,0,0,0,66,720,47,58,26,0,0,0,0,0,0,0,0,13,52,0,0,false,0,0,,,,Rapid-Fire Frame*,Chambered Compensator*,Polygonal Rifling,Appended Mag*,Ricochet Rounds,Perpetual Motion*,Proximity Power,Grave Robber,Adagio*,Kill Clip,Eye of the Storm,Bray Legacy*,Kill Tracker,Tier 1: Range*,Achronal Ahab Char*,Sparks Everlasting*,,,,
Ahab Char,1411560894,"""6917530147109685810""",archive,Legendary,5,Auto Rifle,campaign,Energy,Solar,primary,463,Rapid-Fire Frame,Reload Speed,1,Vault,true,false,false,8,27,,50,70,18,43,16,0,0,0,61,720,46,51,35,0,0,0,0,0,0,0,0,13,52,0,0,false,0,0,,,,Rapid-Fire Frame*,Corkscrew Rifling*,Hammer-Forged Rifling,Armor-Piercing Rounds*,Light Mag,Transcendent Moment*,Subsistence,Heal Clip,Adagio*,Eye of the Storm,Burning Ambition,Bray Legacy*,Kill Tracker,Tier 1: Reload Speed*,Achronal Ahab Char*,Sparks Everlasting*,,,,
